user,artist,sex,country
1,red hot chili peppers,f,Germany
1,metallica,f,Germany
1,goldfrapp,f,Germany
1,dropkick murphys,f,Germany
1,le tigre,f,Germany
1,schandmaul,f,Germany
1,edguy,f,Germany
1,jack johnson,f,Germany
1,eluveitie,f,Germany
1,the killers,f,Germany
1,judas priest,f,Germany
1,rob zombie,f,Germany
1,john mayer,f,Germany
1,the who,f,Germany
1,guano apes,f,Germany
1,the rolling stones,f,Germany
3,devendra banhart,m,United States
3,boards of canada,m,United States
3,cocorosie,m,United States
3,metallica,m,United States
3,animal collective,m,United States
3,atmosphere,m,United States
3,joanna newsom,m,United States
3,air,m,United States
3,portishead,m,United States
3,massive attack,m,United States
3,broken social scene,m,United States
3,metallica,m,United States
3,plaid,m,United States
3,prefuse 73,m,United States
3,m83,m,United States
3,the flashbulb,m,United States
3,pavement,m,United States
3,goldfrapp,m,United States
3,amon tobin,m,United States
3,sage francis,m,United States
3,four tet,m,United States
3,max richter,m,United States
3,autechre,m,United States
3,radiohead,m,United States
3,neutral milk hotel,m,United States
3,beastie boys,m,United States
3,aesop rock,m,United States
3,mf doom,m,United States
3,the books,m,United States
4,tv on the radio,m,United Kingdom
4,tool,m,United Kingdom
4,kyuss,m,United Kingdom
4,dj shadow,m,United Kingdom
4,air,m,United Kingdom
4,a tribe called quest,m,United Kingdom
4,rammstein,m,United Kingdom
4,beck,m,United Kingdom
4,bon iver,m,United Kingdom
4,bonobo,m,United Kingdom
4,the decemberists,m,United Kingdom
4,snow patrol,m,United Kingdom
4,battles,m,United Kingdom
4,the prodigy,m,United Kingdom
4,pink floyd,m,United Kingdom
4,rjd2,m,United Kingdom
4,the flaming lips,m,United Kingdom
4,michael jackson,m,United Kingdom
4,mgmt,m,United Kingdom
4,the rolling stones,m,United Kingdom
4,late of the pier,m,United Kingdom
4,flight of the conchords,m,United Kingdom
4,simian mobile disco,m,United Kingdom
4,muse,m,United Kingdom
4,fleetwood mac,m,United Kingdom
4,led zeppelin,m,United Kingdom
5,dream theater,m,Finland
5,ac/dc,m,Finland
5,metallica,m,Finland
5,iron maiden,m,Finland
5,bob marley & the wailers,m,Finland
5,megadeth,m,Finland
5,children of bodom,m,Finland
5,trivium,m,Finland
5,nightwish,m,Finland
5,sublime,m,Finland
5,volbeat,m,Finland
6,lily allen,m,Portugal
6,kanye west,m,Portugal
6,pink floyd,m,Portugal
6,stevie wonder,m,Portugal
6,metallica,m,Portugal
6,thievery corporation,m,Portugal
6,iron maiden,m,Portugal
6,the streets,m,Portugal
6,muse,m,Portugal
6,faith no more,m,Portugal
6,manu chao,m,Portugal
6,tenacious d,m,Portugal
6,depeche mode,m,Portugal
6,justin timberlake,m,Portugal
6,green day,m,Portugal
6,snow patrol,m,Portugal
6,dream theater,m,Portugal
6,u2,m,Portugal
6,jay-z,m,Portugal
6,type o negative,m,Portugal
6,pearl jam,m,Portugal
6,queen,m,Portugal
7,soundgarden,m,Finland
7,stone temple pilots,m,Finland
7,buckethead,m,Finland
7,metallica,m,Finland
7,alice in chains,m,Finland
7,type o negative,m,Finland
7,pink floyd,m,Finland
7,rush,m,Finland
7,king crimson,m,Finland
7,camel,m,Finland
7,ac/dc,m,Finland
7,tool,m,Finland
7,disturbed,m,Finland
7,oasis,m,Finland
7,jethro tull,m,Finland
7,rammstein,m,Finland
7,audioslave,m,Finland
7,aerosmith,m,Finland
7,pearl jam,m,Finland
7,the verve,m,Finland
7,rammstein,m,Finland
7,led zeppelin,m,Finland
9,arch enemy,m,United States
9,strapping young lad,m,United States
9,kreator,m,United States
9,children of bodom,m,United States
9,iron maiden,m,United States
9,sabaton,m,United States
9,metallica,m,United States
9,mastodon,m,United States
9,pantera,m,United States
9,manowar,m,United States
9,gojira,m,United States
9,devildriver,m,United States
9,slayer,m,United States
9,hammerfall,m,United States
9,hatebreed,m,United States
9,in flames,m,United States
9,meshuggah,m,United States
9,finntroll,m,United States
9,gamma ray,m,United States
12,queen,m,Italy
12,the beatles,m,Italy
12,lynyrd skynyrd,m,Italy
12,neil young,m,Italy
12,the rolling stones,m,Italy
12,metallica,m,Italy
12,led zeppelin,m,Italy
12,pink floyd,m,Italy
12,black sabbath,m,Italy
12,the police,m,Italy
12,t. rex,m,Italy
12,simon & garfunkel,m,Italy
12,eagles,m,Italy
12,jimi hendrix,m,Italy
12,jethro tull,m,Italy
12,bee gees,m,Italy
12,van halen,m,Italy
12,iron maiden,m,Italy
12,bob dylan,m,Italy
12,kiss,m,Italy
12,ac/dc,m,Italy
12,tenacious d,m,Italy
12,aerosmith,m,Italy
12,ennio morricone,m,Italy
12,scorpions,m,Italy
12,bruce springsteen,m,Italy
12,dire straits,m,Italy
12,guns n roses,m,Italy
12,inxs,m,Italy
12,rammstein,m,Italy
13,rammstein,m,Austria
13,tom waits,m,Austria
13,the notwist,m,Austria
13,metallica,m,Austria
13,billie holiday,m,Austria
13,the books,m,Austria
22,the jam,m,United Kingdom
22,supergrass,m,United Kingdom
22,simon & garfunkel,m,United Kingdom
22,paul simon,m,United Kingdom
22,blur,m,United Kingdom
22,oasis,m,United Kingdom
22,snow patrol,m,United Kingdom
22,the who,m,United Kingdom
22,r.e.m.,m,United Kingdom
22,arctic monkeys,m,United Kingdom
22,babyshambles,m,United Kingdom
22,kasabian,m,United Kingdom
22,the libertines,m,United Kingdom
22,kings of leon,m,United Kingdom
22,pulp,m,United Kingdom
22,radiohead,m,United Kingdom
22,john lennon,m,United Kingdom
22,the strokes,m,United Kingdom
22,the stone roses,m,United Kingdom
22,dirty pretty things,m,United Kingdom
22,editors,m,United Kingdom
22,paul mccartney,m,United Kingdom
22,the cure,m,United Kingdom
22,joy division,m,United Kingdom
22,the fratellis,m,United Kingdom
22,u2,m,United Kingdom
22,david bowie,m,United Kingdom
22,doves,m,United Kingdom
22,the rolling stones,m,United Kingdom
22,the prodigy,m,United Kingdom
22,new order,m,United Kingdom
23,ramones,f,Japan
23,the clash,f,Japan
23,franz ferdinand,f,Japan
23,rammstein,f,Japan
23,the rolling stones,f,Japan
23,the who,f,Japan
23,radiohead,f,Japan
23,the kinks,f,Japan
23,mando diao,f,Japan
23,the chemical brothers,f,Japan
23,buzzcocks,f,Japan
23,the pogues,f,Japan
24,the byrds,m,United Kingdom
24,leonard cohen,m,United Kingdom
24,the beatles,m,United Kingdom
24,simon & garfunkel,m,United Kingdom
24,queen,m,United Kingdom
24,tom waits,m,United Kingdom
24,the beach boys,m,United Kingdom
24,neil young,m,United Kingdom
24,johnny cash,m,United Kingdom
24,the kinks,m,United Kingdom
24,bruce springsteen,m,United Kingdom
24,the rolling stones,m,United Kingdom
24,john lennon,m,United Kingdom
24,billy joel,m,United Kingdom
24,jonas brothers,m,United Kingdom
25,fleetwood mac,m,Greece
25,madonna,m,Greece
25,ladytron,m,Greece
25,hooverphonic,m,Greece
25,mariah carey,m,Greece
25,michael jackson,m,Greece
25,garbage,m,Greece
25,simple plan,m,Greece
28,toto,m,Sweden
28,the doors,m,Sweden
28,kent,m,Sweden
28,the smiths,m,Sweden
28,pink floyd,m,Sweden
28,sex pistols,m,Sweden
28,dropkick murphys,m,Sweden
28,bob dylan,m,Sweden
28,pearl jam,m,Sweden
28,no doubt,m,Sweden
28,morrissey,m,Sweden
28,rage against the machine,m,Sweden
28,various artists,m,Sweden
28,cypress hill,m,Sweden
28,the pogues,m,Sweden
28,miles davis,m,Sweden
28,the hives,m,Sweden
28,the police,m,Sweden
28,rammstein,m,Sweden
28,blondie,m,Sweden
28,jay-z,m,Sweden
28,jimi hendrix,m,Sweden
28,moby,m,Sweden
28,dire straits,m,Sweden
28,guns n roses,m,Sweden
29,stereolab,f,Japan
29,hot chip,f,Japan
29,tortoise,f,Japan
29,r.e.m.,f,Japan
29,david bowie,f,Japan
29,new order,f,Japan
29,hercules and love affair,f,Japan
29,kate bush,f,Japan
29,neil young,f,Japan
29,of montreal,f,Japan
29,animal collective,f,Japan
29,portishead,f,Japan
29,stevie wonder,f,Japan
29,prince,f,Japan
29,steely dan,f,Japan
29,pet shop boys,f,Japan
29,talking heads,f,Japan
29,the cure,f,Japan
29,depeche mode,f,Japan
29,miles davis,f,Japan
31,jamiroquai,f,Netherlands
31,tori amos,f,Netherlands
31,jazzanova,f,Netherlands
31,radiohead,f,Netherlands
31,st. germain,f,Netherlands
31,marvin gaye,f,Netherlands
31,moloko,f,Netherlands
31,nightmares on wax,f,Netherlands
31,the verve,f,Netherlands
31,nick cave and the bad seeds,f,Netherlands
31,de-phazz,f,Netherlands
31,blonde redhead,f,Netherlands
31,diana krall,f,Netherlands
31,massive attack,f,Netherlands
31,cocorosie,f,Netherlands
31,dave matthews band,f,Netherlands
31,the smiths,f,Netherlands
31,jamie cullum,f,Netherlands
31,joy division,f,Netherlands
31,porcupine tree,f,Netherlands
31,thievery corporation,f,Netherlands
32,misfits,f,United States
32,deerhoof,f,United States
32,tom waits,f,United States
32,peaches,f,United States
32,turbonegro,f,United States
32,leonard cohen,f,United States
32,antony and the johnsons,f,United States
32,crystal castles,f,United States
32,the black keys,f,United States
32,minor threat,f,United States
32,rammstein,f,United States
32,devendra banhart,f,United States
32,the zombies,f,United States
32,rufus wainwright,f,United States
32,the doors,f,United States
32,the dresden dolls,f,United States
32,gogol bordello,f,United States
32,the kills,f,United States
32,nouvelle vague,f,United States
33,death cab for cutie,f,Germany
33,tegan and sara,f,Germany
33,kimya dawson,f,Germany
33,die ��,f,Germany
33,jack johnson,f,Germany
33,coldplay,f,Germany
33,the kooks,f,Germany
33,the fray,f,Germany
33,mando diao,f,Germany
33,farin urlaub,f,Germany
33,a fine frenzy,f,Germany
33,die toten hosen,f,Germany
33,deichkind,f,Germany
33,razorlight,f,Germany
33,clueso,f,Germany
33,evanescence,f,Germany
33,linkin park,f,Germany
33,seeed,f,Germany
33,three days grace,f,Germany
33,cute is what we aim for,f,Germany
33,incubus,f,Germany
33,buena vista social club,f,Germany
33,counting crows,f,Germany
33,paolo nutini,f,Germany
33,the strokes,f,Germany
33,keane,f,Germany
33,belle and sebastian,f,Germany
33,adam green,f,Germany
33,story of the year,f,Germany
33,paramore,f,Germany
33,nouvelle vague,f,Germany
33,ok go,f,Germany
33,foo fighters,f,Germany
34,the beatles,m,"Iran, Islamic Republic of"
34,u2,m,"Iran, Islamic Republic of"
34,the decemberists,m,"Iran, Islamic Republic of"
34,keane,m,"Iran, Islamic Republic of"
34,blind guardian,m,"Iran, Islamic Republic of"
34,vangelis,m,"Iran, Islamic Republic of"
34,moby,m,"Iran, Islamic Republic of"
34,enya,m,"Iran, Islamic Republic of"
34,johann sebastian bach,m,"Iran, Islamic Republic of"
34,kt tunstall,m,"Iran, Islamic Republic of"
34,led zeppelin,m,"Iran, Islamic Republic of"
34,blackfield,m,"Iran, Islamic Republic of"
34,rammstein,m,"Iran, Islamic Republic of"
34,elvis presley,m,"Iran, Islamic Republic of"
34,archive,m,"Iran, Islamic Republic of"
34,enigma,m,"Iran, Islamic Republic of"
34,nightwish,m,"Iran, Islamic Republic of"
34,amy macdonald,m,"Iran, Islamic Republic of"
34,robbie williams,m,"Iran, Islamic Republic of"
34,queen,m,"Iran, Islamic Republic of"
34,belle and sebastian,m,"Iran, Islamic Republic of"
34,loreena mckennitt,m,"Iran, Islamic Republic of"
34,the doors,m,"Iran, Islamic Republic of"
34,damien rice,m,"Iran, Islamic Republic of"
34,louis armstrong,m,"Iran, Islamic Republic of"
34,a perfect circle,m,"Iran, Islamic Republic of"
34,manu chao,m,"Iran, Islamic Republic of"
35,radiohead,m,Ukraine
35,the kooks,m,Ukraine
35,coldplay,m,Ukraine
35,nine inch nails,m,Ukraine
35,hot chip,m,Ukraine
35,black rebel motorcycle club,m,Ukraine
35,lcd soundsystem,m,Ukraine
35,kasabian,m,Ukraine
35,n*e*r*d,m,Ukraine
35,editors,m,Ukraine
35,klaxons,m,Ukraine
35,bloc party,m,Ukraine
35,the cinematic orchestra,m,Ukraine
35,depeche mode,m,Ukraine
35,girl talk,m,Ukraine
35,lamb,m,Ukraine
35,cut copy,m,Ukraine
35,2pac,m,Ukraine
35,iamx,m,Ukraine
35,the raconteurs,m,Ukraine
35,antony and the johnsons,m,Ukraine
35,unkle,m,Ukraine
35,the presets,m,Ukraine
35,the killers,m,Ukraine
35,gorillaz,m,Ukraine
35,moloko,m,Ukraine
35,massive attack,m,Ukraine
35,mgmt,m,Ukraine
35,portishead,m,Ukraine
35,the cardigans,m,Ukraine
35,kylie minogue,m,Ukraine
35,patrick wolf,m,Ukraine
36,m.i.a.,f,Italy
36,fugazi,f,Italy
36,rammstein,f,Italy
36,clint mansell,f,Italy
36,elton john,f,Italy
36,the beatles,f,Italy
36,portishead,f,Italy
36,social distortion,f,Italy
36,rise against,f,Italy
36,depeche mode,f,Italy
36,lynyrd skynyrd,f,Italy
38,black eyed peas,m,Thailand
38,maroon 5,m,Thailand
38,john legend,m,Thailand
38,elton john,m,Thailand
38,mary j. blige,m,Thailand
38,the ting tings,m,Thailand
38,mika,m,Thailand
38,abba,m,Thailand
38,the beatles,m,Thailand
38,adele,m,Thailand
38,santana,m,Thailand
39,britney spears,m,Russian Federation
39,a-ha,m,Russian Federation
39,joss stone,m,Russian Federation
39,christina aguilera,m,Russian Federation
39,hilary duff,m,Russian Federation
39,katie melua,m,Russian Federation
39,katy perry,m,Russian Federation
39,norah jones,m,Russian Federation
39,september,m,Russian Federation
39,shakira,m,Russian Federation
39,leona lewis,m,Russian Federation
40,the go! team,f,Australia
40,feist,f,Australia
40,broken social scene,f,Australia
40,interpol,f,Australia
40,portishead,f,Australia
40,garbage,f,Australia
40,oasis,f,Australia
40,metric,f,Australia
40,stars,f,Australia
40,cat power,f,Australia
40,andrew bird,f,Australia
40,pixies,f,Australia
40,coldplay,f,Australia
40,kasabian,f,Australia
40,kings of convenience,f,Australia
41,dream theater,f,Mexico
41,kreator,f,Mexico
41,scorpions,f,Mexico
41,alice in chains,f,Mexico
41,iron maiden,f,Mexico
41,satyricon,f,Mexico
41,metallica,f,Mexico
41,radiohead,f,Mexico
41,trivium,f,Mexico
41,def leppard,f,Mexico
41,hypocrisy,f,Mexico
42,soundtrack,f,Germany
42,groove coverage,f,Germany
42,avril lavigne,f,Germany
42,the rasmus,f,Germany
42,him,f,Germany
42,nightwish,f,Germany
42,as i lay dying,f,Germany
42,in extremo,f,Germany
42,evanescence,f,Germany
43,the knife,f,United Kingdom
43,of montreal,f,United Kingdom
43,john mayer,f,United Kingdom
43,nada surf,f,United Kingdom
43,blink-182,f,United Kingdom
43,say anything,f,United Kingdom
43,the get up kids,f,United Kingdom
43,camera obscura,f,United Kingdom
43,sufjan stevens,f,United Kingdom
43,kanye west,f,United Kingdom
43,dashboard confessional,f,United Kingdom
43,stars,f,United Kingdom
43,the weakerthans,f,United Kingdom
